i_TradePeriodNodeDemand,-,-
TP2,PEN0221,25.496
TP2,PEN0251,0
TP2,PEN1101,64.64
TP2,PNI0331,6.915
TP2,PPI2201,0
TP2,RDF0331,24.429
TP2,RFN1101,1.018
TP2,RFN1102,0.902
TP2,ROS0221,44.673
TP2,ROS1101,23.256
TP2,ROT0111,10.497
TP2,ROT0331,20.914
TP2,ROT1101,0
TP2,SBK0331,14.317
TP2,SBK0661,7.452
TP2,SDN0331,32.292
TP2,SFD0331,10.743
TP2,SFD2201,0
TP2,STK0331,64.98
TP2,STK0661,12.467
TP2,STU0111,4.569
TP2,SVL0331,27.685
TP2,SWN0251,0.692
TP2,SWN2201,0.1
TP2,TAK0331,46.066
TP2,TGA0111,12.375
TP2,TGA0331,36.864
TP2,THI2201,0
TP2,TIM0111,39.804
TP2,TKA0331,3.538
TP2,TKH0111,0.521
TP2,TKR0331,39.103
TP2,TKU0331,4.222
TP2,TMI0331,17.782
TP2,TMK0331,12.15
TP2,TMN0551,2.259
TP2,TMU0111,15.897
TP2,TNG0111,29.999
TP2,TNG0551,0.061
TP2,TRK0111,2.938
TP2,TUI1101,24.829
TP2,TWC2201,-45.872
TP2,TWH0331,-5.543
TP2,TWI2201,579.176
TP2,TWZ0331,5.365
TP2,UHT0331,13.064
TP2,WAI0111,4.556
TP2,WDV0111,1.078
TP2,WDV1101,-10.936
TP2,WEL0331,13.711
TP2,WHI2201,0.17
TP2,WIL0331,21.937
TP2,WIR0331,42.421
TP2,WKM2201,4.375
TP2,WPR0331,3.827
TP2,WPR0661,0.87
TP2,WPT0111,0
TP2,WPW0331,8.842
TP2,WRD0331,28.279
TP2,WRK0331,23.562
TP2,WTK0111,0
TP2,WTK0331,0
TP2,WTU0331,41.67
TP2,WVY0111,2.19
TP2,WWD1102,0.429
TP2,WWD1103,0.445
TP3,BOB1101,28.19
TP3,CPK0331,63.451
TP3,HAM0331,55.414
TP3,HIN0331,17.333
TP3,ISL0331,41.168
TP3,KAW0111,14.863
TP3,KAW0113,0
TP3,KIN0331,7.833
TP3,KPU0661,17.267
TP3,MPE1101,50.157
TP3,PEN0331,118.22
TP3,PRM0331,25.529
TP3,WGN0331,11.558
TP3,WHI0111,58.849
TP3,WHU0331,9.521
TP3,WKO0331,16.627
TP3,KAW0112_DLS0,0
TP3,KAW0113_DLS1,35.314
TP3,ABY0111,2.506
TP3,ALB0331,49.336
TP3,ALB1101,25.175
TP3,APS0111,0.153
TP3,ARG1101,0.029
TP3,ASB0331,15.324
TP3,ASB0661,20.303
TP3,ASY0111,10.136
TP3,ATU1101,0.11
TP3,BAL0331,14.963
TP3,BDE0111,7.246
TP3,BLN0331,34.6
TP3,BOB0331,4.28
TP3,BPD1101,1.193
TP3,BPE0331,34.126
TP3,BPE0551,0.172
TP3,BPT1101,0.11
TP3,BRB0331,45.751
TP3,BRK0331,12.451
TP3,BRY0661,87.202
TP3,BWK1101,0
TP3,CBG0111,15.178
TP3,CLH0111,0.32
TP3,CML0331,20.84
TP3,COL0111,0.174
TP3,COL0661,0
TP3,CPK0111,8.746
TP3,CST0331,19.414
TP3,CUL0331,4.491
TP3,CUL0661,2.648
TP3,CYD0331,0.624
TP3,CYD2201,0
TP3,DOB0331,0.581
TP3,DVK0111,5.601
TP3,EDG0331,35.958
TP3,EDN0331,3.954
TP3,FHL0331,22.862
TP3,FKN0331,42.425
TP3,GFD0331,27.06
TP3,GLN0331,93.687
TP3,GLN0332,35.341
TP3,GOR0331,16.159
TP3,GYM0661,5.746
TP3,GYT0331,5.238
TP3,HAM0111,14.328
TP3,HAM0551,0.086
TP3,HAY0111,7.267
TP3,HAY0331,6.865
TP3,HEN0331,43.815
TP3,HEP0331,57.016
TP3,HKK0661,-1.321
TP3,HLY0331,11.492
TP3,HOB1101,17.841
TP3,HOR0331,5.159
TP3,HOR0661,4.419
TP3,HTI0331,14.27
TP3,HUI0331,24.01
TP3,HWA0331,14.661
TP3,HWA0332,5.646
TP3,HWA1101,0
TP3,HWA1102,0
TP3,HWB0331,36.748
TP3,HWB0332,21.191
TP3,HWB1101,5.771
TP3,INV0331,50.138
TP3,ISL0661,272.124
TP3,KAI0111,17.67
TP3,KAW0112,38.786
TP3,KAW1101,0
TP3,KBY0661,0.867
TP3,KBY0662,1.019
TP3,KIK0111,0.876
TP3,KIN0111,44.161
TP3,KIN0112,-21.881
TP3,KIN0113,16.656
TP3,KMO0331,6.352
TP3,KOE1101,7.071
TP3,KPA1101,0
TP3,KUM0661,-2.768
TP3,KWA0111,13.119
TP3,LFD1101,0.834
TP3,LFD1102,0.9
TP3,LTN0331,10.724
TP3,MAN2201,0.949
TP3,MAT1101,0.176
TP3,MCH0111,0.865
TP3,MER0331,0
TP3,MGM0331,3.628
TP3,MHO0331,14.898
TP3,MKE1101,0.181
TP3,MLG0111,9.98
TP3,MLG0331,15.069
TP3,MNG0331,52.396
TP3,MNG1101,7.821
TP3,MNI0111,6.19
TP3,MST0331,21.384
TP3,MTM0331,28.639
TP3,MTN0331,7.774
TP3,MTO0331,5.671
TP3,MTR0331,3.445
TP3,NAP2201,0
TP3,NAP2202,0
TP3,NMA0331,-0.173
TP3,NPK0331,3.173
TP3,NPL0331,4.823
TP3,NSY0331,22.564
TP3,OAM0331,18.263
TP3,OKN0111,5.319
TP3,ONG0331,4.699
TP3,OPK0331,3.605
TP3,ORO1101,3.076
TP3,ORO1102,3.024
TP3,OTA0221,27.171
TP3,OTI0111,0.056
TP3,OWH0111,5.027
TP3,PAK0331,59.224
TP3,PAO1101,16.063
TP3,PEN0221,25.025
TP3,PEN0251,0
TP3,PEN1101,62.893
TP3,PNI0331,6.713
TP3,PPI2201,0
TP3,RDF0331,23.372
TP3,RFN1101,0.929
TP3,RFN1102,0.807
