i_TradePeriodNodeDemand,-,-
TP25,HEN0331,68.579
TP25,HEP0331,95.339
TP25,HKK0661,2.115
TP25,HLY0331,17.575
TP25,HOB1101,37.975
TP25,HOR0331,5.913
TP25,HOR0661,3.236
TP25,HTI0331,22.867
TP25,HUI0331,23.755
TP25,HWA0331,19.402
TP25,HWA0332,5.27
TP25,HWA1101,0
TP25,HWA1102,0
TP25,HWB0331,28.674
TP25,HWB0332,35.204
TP25,HWB1101,6.92
TP25,INV0331,72.923
TP25,ISL0661,309.112
TP25,KAI0111,24.087
TP25,KAW0112,38.442
TP25,KAW1101,0
TP25,KBY0661,1.082
TP25,KBY0662,1.241
TP25,KIK0111,1.703
TP25,KIN0111,41.142
TP25,KIN0112,-20.251
TP25,KIN0113,15.075
TP25,KMO0331,7.871
TP25,KOE1101,24.59
TP25,KPA1101,0
TP25,KUM0661,-2.294
TP25,KWA0111,26.787
TP25,LFD1101,1.145
TP25,LFD1102,1.067
TP25,LTN0331,35.398
TP25,MAN2201,1.022
TP25,MAT1101,0.171
TP25,MCH0111,1.312
TP25,MER0331,0
TP25,MGM0331,5.511
TP25,MHO0331,25.593
TP25,MKE1101,0.18
TP25,MLG0111,18.894
TP25,MLG0331,24.486
TP25,MNG0331,81.816
TP25,MNG1101,7.574
TP25,MNI0111,6.231
TP25,MST0331,31.867
TP25,MTM0331,43.585
TP25,MTN0331,10.621
TP25,MTO0331,9.434
TP25,MTR0331,4.803
TP25,NAP2201,0
TP25,NAP2202,0
TP25,NMA0331,10.743
TP25,NPK0331,3.127
TP25,NPL0331,7.266
TP25,NSY0331,22.918
TP25,OAM0331,25.694
TP25,OKN0111,5.45
TP25,ONG0331,0.915
TP25,OPK0331,4.486
TP25,ORO1101,4.324
TP25,ORO1102,4.288
TP25,OTA0221,44.91
TP25,OTI0111,0.065
TP25,OWH0111,6.868
TP25,PAK0331,93.406
TP25,PAO1101,23.162
TP25,PEN0221,43.627
TP25,PEN0251,1.761
TP25,PEN1101,125.985
TP25,PNI0331,9.11
TP25,PPI2201,0
TP25,RDF0331,40.317
TP25,RFN1101,1.327
TP25,RFN1102,1.294
TP25,ROS0221,61.515
TP25,ROS1101,37.114
TP25,ROT0111,14.638
TP25,ROT0331,35.78
TP25,ROT1101,0
TP25,SBK0331,24.185
TP25,SBK0661,9.2
TP25,SDN0331,55.569
TP25,SFD0331,14.819
TP25,SFD2201,0
TP25,STK0331,101.192
TP25,STK0661,18.821
TP25,STU0111,5.685
TP25,SVL0331,43.735
TP25,SWN0251,2.117
TP25,SWN2201,0.1
TP25,TAK0331,68.491
TP25,TGA0111,18.403
TP25,TGA0331,56.217
TP25,THI2201,0
TP25,TIM0111,56.82
TP25,TKA0331,3.202
TP25,TKH0111,0.65
TP25,TKR0331,60.933
TP25,TKU0331,5.418
TP25,TMI0331,23.514
TP25,TMK0331,14.753
TP25,TMN0551,0.412
TP25,TMU0111,25.172
TP25,TNG0111,19.812
TP25,TNG0551,3.328
TP25,TRK0111,4.074
TP25,TUI1101,45.301
TP25,TWC2201,0.123
TP25,TWH0331,64.504
TP25,TWI2201,578.764
TP25,TWZ0331,6.089
TP25,UHT0331,19.243
TP25,WAI0111,6.397
TP25,WDV0111,1.521
TP25,WDV1101,0.469
TP25,WEL0331,20.741
TP25,WHI2201,0.15
TP25,WIL0331,0.904
TP25,WIR0331,74.626
TP25,WKM2201,5.148
TP25,WPR0331,5.047
TP25,WPR0661,2.09
TP25,WPT0111,0
TP25,WPW0331,14.704
TP25,WRD0331,44.36
TP25,WRK0331,32.745
TP25,WTK0111,0
TP25,WTK0331,0
TP25,WTU0331,64.365
TP25,WVY0111,2.992
TP25,WWD1102,-37.126
TP25,WWD1103,-44.909
TP26,BOB1101,43.928
TP26,CPK0331,111.98
TP26,HAM0331,85.797
TP26,HIN0331,25.927
TP26,ISL0331,62.429
TP26,KAW0111,14.411
TP26,KAW0113,0
TP26,KIN0331,11.06
TP26,KPU0661,28.667
TP26,MPE1101,80.829
TP26,PEN0331,195.147
TP26,PRM0331,36.987
TP26,WGN0331,19.242
TP26,WHI0111,29.955
TP26,WHU0331,13.472
TP26,WKO0331,22.079
TP26,KAW0112_DLS0,0
TP26,KAW0113_DLS1,34.245
TP26,ABY0111,2.571
TP26,ALB0331,86.935
TP26,ALB1101,41.15
TP26,APS0111,0.152
TP26,ARG1101,0
TP26,ASB0331,20.446
TP26,ASB0661,26.097
TP26,ASY0111,11.272
TP26,ATU1101,0.11
TP26,BAL0331,20.506
TP26,BDE0111,7.284
TP26,BLN0331,50.157
TP26,BOB0331,6.284
TP26,BPD1101,1.436
TP26,BPE0331,67.966
TP26,BPE0551,0.103
TP26,BPT1101,0.234
TP26,BRB0331,47.337
TP26,BRK0331,16.421
TP26,BRY0661,98.101
TP26,BWK1101,0
TP26,CBG0111,23.051
TP26,CLH0111,0.283
TP26,CML0331,27.479
TP26,COL0111,0.191
TP26,COL0661,0
TP26,CPK0111,16.588
TP26,CST0331,33.727
TP26,CUL0331,5.735
TP26,CUL0661,3.999
TP26,CYD0331,-2.014
TP26,CYD2201,0
TP26,DOB0331,3.122
TP26,DVK0111,9.442
TP26,EDG0331,36.991
TP26,EDN0331,4.567
TP26,FHL0331,37.102
TP26,FKN0331,48.868
TP26,GFD0331,45.892
TP26,GLN0331,91.204
TP26,GLN0332,41.005
TP26,GOR0331,21.531
TP26,GYM0661,11.087
TP26,GYT0331,6.528
TP26,HAM0111,20.114
TP26,HAM0551,0.133
TP26,HAY0111,10.297
TP26,HAY0331,9.608
TP26,HEN0331,67.451
TP26,HEP0331,94.44
TP26,HKK0661,1.469
TP26,HLY0331,17.057
TP26,HOB1101,37.786
TP26,HOR0331,5.792
TP26,HOR0661,3.171
TP26,HTI0331,22.68
TP26,HUI0331,23.821
TP26,HWA0331,18.843
TP26,HWA0332,5.277
TP26,HWA1101,0
TP26,HWA1102,0
TP26,HWB0331,28.516
TP26,HWB0332,34.061
TP26,HWB1101,6.548
TP26,INV0331,69.646
TP26,ISL0661,293.78
TP26,KAI0111,21.749
TP26,KAW0112,38.856
TP26,KAW1101,0
TP26,KBY0661,1.062
TP26,KBY0662,1.219
TP26,KIK0111,1.613
TP26,KIN0111,41.733
TP26,KIN0112,-20.82
TP26,KIN0113,16.538
TP26,KMO0331,7.553
TP26,KOE1101,23.24
TP26,KPA1101,0
TP26,KUM0661,-2.359
TP26,KWA0111,26.6
TP26,LFD1101,1.216
TP26,LFD1102,1.143
TP26,LTN0331,34.566
TP26,MAN2201,0.989
TP26,MAT1101,0.172
TP26,MCH0111,1.245
TP26,MER0331,0
TP26,MGM0331,5.319
TP26,MHO0331,25.139
TP26,MKE1101,0.169
TP26,MLG0111,18.315
TP26,MLG0331,23.757
TP26,MNG0331,81.814
TP26,MNG1101,7.471
TP26,MNI0111,6.23
TP26,MST0331,31.432
TP26,MTM0331,43.044
TP26,MTN0331,10.461
TP26,MTO0331,9.352
TP26,MTR0331,4.651
TP26,NAP2201,0
TP26,NAP2202,0
TP26,NMA0331,15.299
TP26,NPK0331,3.061
TP26,NPL0331,7.065
TP26,NSY0331,22.781
TP26,OAM0331,24.178
TP26,OKN0111,5.355
TP26,ONG0331,0.605
TP26,OPK0331,4.304
TP26,ORO1101,4.058
TP26,ORO1102,4.021
TP26,OTA0221,44.433
TP26,OTI0111,0.065
TP26,OWH0111,6.63
TP26,PAK0331,92.16
TP26,PAO1101,22.528
TP26,PEN0221,44.415
TP26,PEN0251,1.695
TP26,PEN1101,124.966
TP26,PNI0331,8.675
TP26,PPI2201,0
TP26,RDF0331,39.64
TP26,RFN1101,1.386
TP26,RFN1102,1.345
TP26,ROS0221,60.212
TP26,ROS1101,36.375
TP26,ROT0111,13.958
TP26,ROT0331,34.579
TP26,ROT1101,0
TP26,SBK0331,23.762
TP26,SBK0661,8.703
TP26,SDN0331,54.166
TP26,SFD0331,14.221
TP26,SFD2201,0
TP26,STK0331,96.611
TP26,STK0661,17.823
TP26,STU0111,5.934
TP26,SVL0331,42.694
TP26,SWN0251,1.71
TP26,SWN2201,0.1
TP26,TAK0331,66.874
TP26,TGA0111,17.686
TP26,TGA0331,55.164
TP26,THI2201,0
TP26,TIM0111,56.5
TP26,TKA0331,3.114
TP26,TKH0111,0.629
TP26,TKR0331,58.896
TP26,TKU0331,5.088
TP26,TMI0331,23.896
TP26,TMK0331,15.312
TP26,TMN0551,1.409
TP26,TMU0111,24.269
TP26,TNG0111,20.237
TP26,TNG0551,3.811
TP26,TRK0111,4.018
TP26,TUI1101,43.806
TP26,TWC2201,0.553
TP26,TWH0331,64.574
TP26,TWI2201,579.229
TP26,TWZ0331,5.82
TP26,UHT0331,18.848
TP26,WAI0111,6.316
TP26,WDV0111,1.466
TP26,WDV1101,0.466
TP26,WEL0331,20.367
TP26,WHI2201,0.148
TP26,WIL0331,-1.911
TP26,WIR0331,74.342
TP26,WKM2201,5.032
TP26,WPR0331,4.726
TP26,WPR0661,1.727
TP26,WPT0111,0
TP26,WPW0331,13.879
TP26,WRD0331,43.438
TP26,WRK0331,32.1
TP26,WTK0111,0
TP26,WTK0331,0
TP26,WTU0331,63.85
TP26,WVY0111,2.964
TP26,WWD1102,-41.207
TP26,WWD1103,-43.77
TP27,BOB1101,43.156
TP27,CPK0331,110.622
TP27,HAM0331,84.375
TP27,HIN0331,25.226
TP27,ISL0331,62.385
TP27,KAW0111,15.604
TP27,KAW0113,0
TP27,KIN0331,10.883
TP27,KPU0661,27.999
TP27,MPE1101,77.171
TP27,PEN0331,194.235
TP27,PRM0331,38.416
TP27,WGN0331,18.8
TP27,WHI0111,29.924
TP27,WHU0331,13.117
TP27,WKO0331,21.462
TP27,KAW0112_DLS0,0
TP27,KAW0113_DLS1,35.636
TP27,ABY0111,2.727
TP27,ALB0331,85.775
TP27,ALB1101,40.737
TP27,APS0111,0.162
TP27,ARG1101,0.034
TP27,ASB0331,19.984
TP27,ASB0661,25.4
TP27,ASY0111,11.513
TP27,ATU1101,0.11
TP27,BAL0331,20.224
TP27,BDE0111,7.786
TP27,BLN0331,48.687
TP27,BOB0331,5.913
TP27,BPD1101,1.424
TP27,BPE0331,66.611
TP27,BPE0551,0.087
TP27,BPT1101,0.263
TP27,BRB0331,46.55
TP27,BRK0331,16.368
TP27,BRY0661,97.051
TP27,BWK1101,0
TP27,CBG0111,22.153
TP27,CLH0111,0.273
TP27,CML0331,27.063
TP27,COL0111,0.184
TP27,COL0661,0
TP27,CPK0111,16.422
TP27,CST0331,33.075
TP27,CUL0331,5.574
TP27,CUL0661,3.878
TP27,CYD0331,-2.045
TP27,CYD2201,0
TP27,DOB0331,2.978
TP27,DVK0111,9.247
TP27,EDG0331,43.216
TP27,EDN0331,4.616
TP27,FHL0331,36.247
TP27,FKN0331,47.906
TP27,GFD0331,45.171
TP27,GLN0331,90.513
TP27,GLN0332,41.248
TP27,GOR0331,21.796
TP27,GYM0661,11.127
TP27,GYT0331,6.514
TP27,HAM0111,19.837
TP27,HAM0551,0.159
TP27,HAY0111,10.13
TP27,HAY0331,9.358
TP27,HEN0331,65.918
TP27,HEP0331,93.358
TP27,HKK0661,1.893
TP27,HLY0331,16.493
TP27,HOB1101,38.059
TP27,HOR0331,5.661
TP27,HOR0661,3.149
TP27,HTI0331,21.882
TP27,HUI0331,25.255
TP27,HWA0331,18.749
TP27,HWA0332,5.273
TP27,HWA1101,0
TP27,HWA1102,0
TP27,HWB0331,29.592
TP27,HWB0332,32.855
TP27,HWB1101,6.636
TP27,INV0331,70.303
TP27,ISL0661,286.858
TP27,KAI0111,20.409
TP27,KAW0112,39.076
TP27,KAW1101,0
TP27,KBY0661,0.95
TP27,KBY0662,1.105
TP27,KIK0111,1.514
TP27,KIN0111,42.041
TP27,KIN0112,-19.953
TP27,KIN0113,14.863
TP27,KMO0331,7.976
TP27,KOE1101,22.166
TP27,KPA1101,0
TP27,KUM0661,-2.312
TP27,KWA0111,26.275
TP27,LFD1101,1.261
TP27,LFD1102,1.186
TP27,LTN0331,33.746
TP27,MAN2201,1.012
TP27,MAT1101,0.178
TP27,MCH0111,1.246
TP27,MER0331,0
TP27,MGM0331,5.172
TP27,MHO0331,24.475
TP27,MKE1101,0.165
TP27,MLG0111,17.748
TP27,MLG0331,22.927
TP27,MNG0331,81.06
TP27,MNG1101,7.727
TP27,MNI0111,6.201
TP27,MST0331,31.92
TP27,MTM0331,42.785
TP27,MTN0331,10.23
TP27,MTO0331,8.944
TP27,MTR0331,4.608
TP27,NAP2201,0
TP27,NAP2202,0
TP27,NMA0331,13.07
TP27,NPK0331,3.105
TP27,NPL0331,6.819
TP27,NSY0331,22.439
TP27,OAM0331,23.602
TP27,OKN0111,4.89
TP27,ONG0331,0.207
TP27,OPK0331,4.185
TP27,ORO1101,3.94
TP27,ORO1102,3.902
TP27,OTA0221,43.888
TP27,OTI0111,0.061
TP27,OWH0111,6.438
TP27,PAK0331,90.398
TP27,PAO1101,22.26
TP27,PEN0221,44.305
TP27,PEN0251,1.823
TP27,PEN1101,125.164
TP27,PNI0331,8.472
TP27,PPI2201,0
TP27,RDF0331,38.66
TP27,RFN1101,1.31
TP27,RFN1102,1.271
TP27,ROS0221,59.135
TP27,ROS1101,35.877
TP27,ROT0111,13.843
TP27,ROT0331,35.702
TP27,ROT1101,0
TP27,SBK0331,21.664
TP27,SBK0661,8.253
TP27,SDN0331,52.267
TP27,SFD0331,13.968
TP27,SFD2201,0
TP27,STK0331,92.149
TP27,STK0661,17.199
TP27,STU0111,6.381
TP27,SVL0331,41.995
TP27,SWN0251,1.802
TP27,SWN2201,0.1
TP27,TAK0331,64.833
TP27,TGA0111,17.768
TP27,TGA0331,55.556
TP27,THI2201,0
TP27,TIM0111,57.211
TP27,TKA0331,3.079
TP27,TKH0111,0.598
TP27,TKR0331,57.798
TP27,TKU0331,4.885
TP27,TMI0331,23.987
TP27,TMK0331,15.236
TP27,TMN0551,2.608
TP27,TMU0111,23.002
TP27,TNG0111,20.728
TP27,TNG0551,0.732
TP27,TRK0111,3.872
TP27,TUI1101,42.963
TP27,TWC2201,0.746
TP27,TWH0331,60.511
TP27,TWI2201,578.019
TP27,TWZ0331,5.79
TP27,UHT0331,18.671
TP27,WAI0111,6.142
TP27,WDV0111,1.437
TP27,WDV1101,0.471
TP27,WEL0331,20.299
TP27,WHI2201,0.14
TP27,WIL0331,0.964
TP27,WIR0331,73.922
TP27,WKM2201,4.802
TP27,WPR0331,4.463
TP27,WPR0661,1.555
TP27,WPT0111,0
TP27,WPW0331,13.712
TP27,WRD0331,42.925
TP27,WRK0331,31.65
TP27,WTK0111,0
TP27,WTK0331,0
TP27,WTU0331,63.184
TP27,WVY0111,2.907
TP27,WWD1102,-42.783
TP27,WWD1103,-43.075
TP28,BOB1101,42.033
TP28,CPK0331,108.099
TP28,HAM0331,82.593
TP28,HIN0331,24.101
TP28,ISL0331,59.837
TP28,KAW0111,15.693
TP28,KAW0113,0
TP28,KIN0331,10.394
TP28,KPU0661,27.108
TP28,MPE1101,77.11
TP28,PEN0331,190.655
TP28,PRM0331,36.367
TP28,WGN0331,18.25
TP28,WHI0111,29.077
TP28,WHU0331,12.866
TP28,WKO0331,20.639
TP28,KAW0112_DLS0,0
TP28,KAW0113_DLS1,36.142
TP28,ABY0111,2.674
TP28,ALB0331,84.644
TP28,ALB1101,40.162
TP28,APS0111,0.16
TP28,ARG1101,0.037
TP28,ASB0331,19.474
TP28,ASB0661,24.015
TP28,ASY0111,11.502
TP28,ATU1101,0.104
TP28,BAL0331,20.146
TP28,BDE0111,7.84
TP28,BLN0331,47.51
TP28,BOB0331,5.437
TP28,BPD1101,1.364
TP28,BPE0331,64.554
TP28,BPE0551,0.102
TP28,BPT1101,0.356
TP28,BRB0331,46.193
TP28,BRK0331,16.186
TP28,BRY0661,93.811
TP28,BWK1101,0
TP28,CBG0111,21.338
TP28,CLH0111,0.272
TP28,CML0331,26.496
TP28,COL0111,0.177
TP28,COL0661,0
TP28,CPK0111,16.024
TP28,CST0331,32.101
TP28,CUL0331,5.369
TP28,CUL0661,3.742
TP28,CYD0331,-1.429
TP28,CYD2201,0
TP28,DOB0331,3.105
TP28,DVK0111,9.056
TP28,EDG0331,44.334
TP28,EDN0331,4.595
TP28,FHL0331,35.924
TP28,FKN0331,47.819
TP28,GFD0331,43.765
TP28,GLN0331,85.303
TP28,GLN0332,41.46
TP28,GOR0331,21.236
TP28,GYM0661,10.664
TP28,GYT0331,6.121
TP28,HAM0111,18.988
TP28,HAM0551,0.134
TP28,HAY0111,9.571
TP28,HAY0331,8.927
TP28,HEN0331,65.391
TP28,HEP0331,91.837
TP28,HKK0661,1.455
TP28,HLY0331,15.959
TP28,HOB1101,37.59
TP28,HOR0331,5.51
TP28,HOR0661,3.244
TP28,HTI0331,21.489
TP28,HUI0331,25.9
TP28,HWA0331,18.727
TP28,HWA0332,5.27
TP28,HWA1101,0
TP28,HWA1102,0
TP28,HWB0331,27.625
TP28,HWB0332,32.523
TP28,HWB1101,6.379
TP28,INV0331,68.322
TP28,ISL0661,273.339
TP28,KAI0111,18.725
TP28,KAW0112,39.006
TP28,KAW1101,0
TP28,KBY0661,0.917
TP28,KBY0662,1.073
TP28,KIK0111,1.306
TP28,KIN0111,42.567
TP28,KIN0112,-18.707
TP28,KIN0113,15.978
TP28,KMO0331,7.562
TP28,KOE1101,21.261
TP28,KPA1101,0
TP28,KUM0661,-2.346
TP28,KWA0111,25.743
TP28,LFD1101,1.263
TP28,LFD1102,1.201
TP28,LTN0331,32.948
TP28,MAN2201,1.008
TP28,MAT1101,0.179
TP28,MCH0111,1.183
TP28,MER0331,0
TP28,MGM0331,5.148
TP28,MHO0331,23.687
TP28,MKE1101,0.165
TP28,MLG0111,17.294
TP28,MLG0331,21.916
TP28,MNG0331,80.371
TP28,MNG1101,8.029
TP28,MNI0111,6.253
TP28,MST0331,31.021
TP28,MTM0331,42.119
TP28,MTN0331,9.99
TP28,MTO0331,8.709
TP28,MTR0331,4.556
TP28,NAP2201,0
TP28,NAP2202,0
TP28,NMA0331,11.666
TP28,NPK0331,2.968
TP28,NPL0331,6.599
TP28,NSY0331,22.506
TP28,OAM0331,22.144
TP28,OKN0111,4.582
TP28,ONG0331,-0.003
TP28,OPK0331,4.24
TP28,ORO1101,3.81
TP28,ORO1102,3.77
TP28,OTA0221,43.55
TP28,OTI0111,0.228
TP28,OWH0111,6.295
TP28,PAK0331,89.099
TP28,PAO1101,21.91
TP28,PEN0221,43.835
TP28,PEN0251,1.99
TP28,PEN1101,123.601
TP28,PNI0331,8.188
TP28,PPI2201,0
TP28,RDF0331,38.187
TP28,RFN1101,1.352
TP28,RFN1102,1.302
TP28,ROS0221,58.274
TP28,ROS1101,34.925
TP28,ROT0111,13.579
TP28,ROT0331,35.003
TP28,ROT1101,0
TP28,SBK0331,19.94
TP28,SBK0661,7.968
TP28,SDN0331,51.276
TP28,SFD0331,13.699
TP28,SFD2201,0
TP28,STK0331,92.557
TP28,STK0661,16.733
TP28,STU0111,5.991
TP28,SVL0331,41.55
TP28,SWN0251,1.688
TP28,SWN2201,0.1
TP28,TAK0331,63.268
TP28,TGA0111,17.079
TP28,TGA0331,54.041
TP28,THI2201,0
TP28,TIM0111,55.515
TP28,TKA0331,2.998
TP28,TKH0111,0.581
TP28,TKR0331,55.767
TP28,TKU0331,4.696
TP28,TMI0331,23.475
TP28,TMK0331,15.242
TP28,TMN0551,2.503
TP28,TMU0111,22.124
TP28,TNG0111,20.994
TP28,TNG0551,2.326
TP28,TRK0111,3.84
TP28,TUI1101,42.965
TP28,TWC2201,0.759
TP28,TWH0331,61.046
TP28,TWI2201,577.933
TP28,TWZ0331,5.62
TP28,UHT0331,17.889
TP28,WAI0111,5.949
TP28,WDV0111,1.405
TP28,WDV1101,0.465
TP28,WEL0331,19.843
TP28,WHI2201,0.144
TP28,WIL0331,-3.117
TP28,WIR0331,72.657
TP28,WKM2201,4.886
TP28,WPR0331,4.241
TP28,WPR0661,1.556
TP28,WPT0111,0
TP28,WPW0331,13.581
TP28,WRD0331,42.3
TP28,WRK0331,30.575
TP28,WTK0111,0
TP28,WTK0331,0
TP28,WTU0331,61.927
TP28,WVY0111,2.908
TP28,WWD1102,-42.975
TP28,WWD1103,-45.19
TP29,BOB1101,40.296
TP29,CPK0331,106.396
TP29,HAM0331,81.516
TP29,HIN0331,23.718
TP29,ISL0331,58.271
TP29,KAW0111,15.039
TP29,KAW0113,0
TP29,KIN0331,10.458
TP29,KPU0661,26.993
TP29,MPE1101,77.928
TP29,PEN0331,186.68
TP29,PRM0331,34.877
TP29,WGN0331,17.939
TP29,WHI0111,29.959
TP29,WHU0331,12.609
TP29,WKO0331,20.4
TP29,KAW0112_DLS0,0
TP29,KAW0113_DLS1,35.93
TP29,ABY0111,2.568
TP29,ALB0331,83.626
TP29,ALB1101,39.84
TP29,APS0111,0.174
TP29,ARG1101,0.035
TP29,ASB0331,18.798
TP29,ASB0661,23.472
TP29,ASY0111,11.278
TP29,ATU1101,0.103
TP29,BAL0331,20.612
TP29,BDE0111,8.062
TP29,BLN0331,46.371
TP29,BOB0331,5.639
TP29,BPD1101,1.402
TP29,BPE0331,63.262
TP29,BPE0551,0.033
TP29,BPT1101,0.357
TP29,BRB0331,46.505
TP29,BRK0331,16.153
TP29,BRY0661,89.927
TP29,BWK1101,0
TP29,CBG0111,20.647
TP29,CLH0111,0.272
TP29,CML0331,26.19
TP29,COL0111,0.183
TP29,COL0661,0
TP29,CPK0111,15.378
TP29,CST0331,31.914
TP29,CUL0331,5.308
TP29,CUL0661,3.591
TP29,CYD0331,-2.109
TP29,CYD2201,0
TP29,DOB0331,2.852
TP29,DVK0111,8.947
TP29,EDG0331,44.137
TP29,EDN0331,4.553
TP29,FHL0331,35.824
TP29,FKN0331,47.129
TP29,GFD0331,43
TP29,GLN0331,84.483
TP29,GLN0332,42.979
TP29,GOR0331,20.932
TP29,GYM0661,10.43
TP29,GYT0331,5.73
TP29,HAM0111,18.356
TP29,HAM0551,0.134
TP29,HAY0111,8.941
TP29,HAY0331,8.688
TP29,HEN0331,65.228
TP29,HEP0331,90.059
TP29,HKK0661,0.799
TP29,HLY0331,15.625
TP29,HOB1101,36.934
TP29,HOR0331,5.312
TP29,HOR0661,3.315
TP29,HTI0331,21.2
TP29,HUI0331,25.295
TP29,HWA0331,18.384
TP29,HWA0332,5.255
TP29,HWA1101,0
TP29,HWA1102,0
TP29,HWB0331,21.109
TP29,HWB0332,31.599
TP29,HWB1101,6.623
TP29,INV0331,67.916
TP29,ISL0661,262.844
TP29,KAI0111,18.235
TP29,KAW0112,39.07
TP29,KAW1101,0
TP29,KBY0661,0.859
TP29,KBY0662,1.013
TP29,KIK0111,1.247
TP29,KIN0111,42.882
TP29,KIN0112,-20.682
TP29,KIN0113,16.612
TP29,KMO0331,7.335
TP29,KOE1101,21.538
TP29,KPA1101,0
TP29,KUM0661,-2.577
TP29,KWA0111,25.406
TP29,LFD1101,1.378
TP29,LFD1102,1.326
TP29,LTN0331,31.937
TP29,MAN2201,1.012
TP29,MAT1101,0.179
TP29,MCH0111,1.202
TP29,MER0331,0
TP29,MGM0331,4.949
TP29,MHO0331,22.966
TP29,MKE1101,0.188
TP29,MLG0111,16.872
TP29,MLG0331,21.395
TP29,MNG0331,79.718
TP29,MNG1101,7.951
TP29,MNI0111,6.217
TP29,MST0331,29.358
TP29,MTM0331,41.6
TP29,MTN0331,10.026
TP29,MTO0331,8.768
TP29,MTR0331,4.475
TP29,NAP2201,0
TP29,NAP2202,0
TP29,NMA0331,10.021
TP29,NPK0331,2.968
TP29,NPL0331,6.548
TP29,NSY0331,21.723
TP29,OAM0331,21.554
TP29,OKN0111,4.235
TP29,ONG0331,-0.135
TP29,OPK0331,4.173
TP29,ORO1101,3.61
TP29,ORO1102,3.567
TP29,OTA0221,44.174
TP29,OTI0111,0.163
TP29,OWH0111,6.129
TP29,PAK0331,85.79
TP29,PAO1101,21.578
TP29,PEN0221,43.331
TP29,PEN0251,2.03
TP29,PEN1101,121.724
TP29,PNI0331,7.968
TP29,PPI2201,0
TP29,RDF0331,36.934
TP29,RFN1101,1.328
TP29,RFN1102,1.265
TP29,ROS0221,57.153
TP29,ROS1101,34.658
TP29,ROT0111,13.227
TP29,ROT0331,34.731
TP29,ROT1101,0
TP29,SBK0331,18.837
TP29,SBK0661,7.76
TP29,SDN0331,50.139
TP29,SFD0331,13.602
TP29,SFD2201,0
TP29,STK0331,89.244
TP29,STK0661,16.427
TP29,STU0111,5.76
TP29,SVL0331,41.306
TP29,SWN0251,2.28
TP29,SWN2201,0.1
TP29,TAK0331,62.002
TP29,TGA0111,17.048
TP29,TGA0331,53.038
TP29,THI2201,0
TP29,TIM0111,52.84
TP29,TKA0331,2.934
TP29,TKH0111,0.591
TP29,TKR0331,54.51
TP29,TKU0331,4.582
TP29,TMI0331,23.305
TP29,TMK0331,14.428
TP29,TMN0551,-0.247
TP29,TMU0111,21.498
TP29,TNG0111,20.654
TP29,TNG0551,0.403
TP29,TRK0111,3.818
TP29,TUI1101,43.088
TP29,TWC2201,0.505
TP29,TWH0331,62.886
TP29,TWI2201,578.972
TP29,TWZ0331,5.557
TP29,UHT0331,17.234
TP29,WAI0111,5.812
TP29,WDV0111,1.385
TP29,WDV1101,0.467
TP29,WEL0331,19.286
TP29,WHI2201,0.154
TP29,WIL0331,-11.333
TP29,WIR0331,71.673
TP29,WKM2201,4.808
TP29,WPR0331,4.073
TP29,WPR0661,1.848
TP29,WPT0111,0
TP29,WPW0331,13.525
TP29,WRD0331,41.943
TP29,WRK0331,29.752
TP29,WTK0111,0
TP29,WTK0331,0
TP29,WTU0331,60.831
TP29,WVY0111,2.852
TP29,WWD1102,-44.954
TP29,WWD1103,-52.882
TP30,BOB1101,41.929
TP30,CPK0331,105.577
TP30,HAM0331,80.162
TP30,HIN0331,23.983
TP30,ISL0331,57.499
TP30,KAW0111,15.6
TP30,KAW0113,0
TP30,KIN0331,11.677
TP30,KPU0661,26.869
TP30,MPE1101,76.851
TP30,PEN0331,185.128
TP30,PRM0331,33.897
TP30,WGN0331,17.8
TP30,WHI0111,29.851
TP30,WHU0331,12.647
TP30,WKO0331,20.148
TP30,KAW0112_DLS0,0
TP30,KAW0113_DLS1,36.049
TP30,ABY0111,2.583
TP30,ALB0331,83.349
TP30,ALB1101,39.528
TP30,APS0111,0.172
TP30,ARG1101,0.034
TP30,ASB0331,18.553
TP30,ASB0661,23.155
TP30,ASY0111,10.266
TP30,ATU1101,0.117
TP30,BAL0331,20.095
TP30,BDE0111,7.859
TP30,BLN0331,45.559
TP30,BOB0331,6.098
TP30,BPD1101,1.476
TP30,BPE0331,62.373
TP30,BPE0551,0.079
TP30,BPT1101,0.355
TP30,BRB0331,46.94
TP30,BRK0331,16.328
TP30,BRY0661,87.597
TP30,BWK1101,0
TP30,CBG0111,20.654
TP30,CLH0111,0.268
TP30,CML0331,25.676
TP30,COL0111,0.165
TP30,COL0661,0
TP30,CPK0111,15.458
TP30,CST0331,32.354
TP30,CUL0331,5.335
TP30,CUL0661,3.521
TP30,CYD0331,-2.38
TP30,CYD2201,0
TP30,DOB0331,3.022
TP30,DVK0111,8.837
TP30,EDG0331,44.516
TP30,EDN0331,4.684
TP30,FHL0331,35.808
TP30,FKN0331,45.681
TP30,GFD0331,42.502
TP30,GLN0331,87.142
TP30,GLN0332,43.403
TP30,GOR0331,20.729
TP30,GYM0661,10.119
TP30,GYT0331,5.251
TP30,HAM0111,17.91
TP30,HAM0551,0.134
TP30,HAY0111,9.131
TP30,HAY0331,8.534
TP30,HEN0331,65.325
TP30,HEP0331,89.909
TP30,HKK0661,0.874
TP30,HLY0331,15.885
TP30,HOB1101,36.263
