i_TradePeriodSustainedILROffer,-,-,-,-,
TP4,KIN0331,t1,i_ILROfferPrice,0, 
TP4,KPU0661,t1,i_ILROfferMax,0.3, 
TP4,KPU0661,t1,i_ILROfferPrice,0, 
TP4,MPE1101,t1,i_ILROfferMax,3.5, 
TP4,MPE1101,t1,i_ILROfferPrice,0, 
TP4,PEN0331,t1,i_ILROfferMax,5.65, 
TP4,PEN0331,t1,i_ILROfferPrice,0.01, 
TP4,PEN0331,t2,i_ILROfferMax,2.8, 
TP4,PEN0331,t2,i_ILROfferPrice,0.45, 
TP4,PEN0331,t3,i_ILROfferMax,2.8, 
TP4,PEN0331,t3,i_ILROfferPrice,2.95, 
TP4,PRM0331,t1,i_ILROfferMax,55, 
TP4,PRM0331,t1,i_ILROfferPrice,0, 
TP4,PRM0331,t2,i_ILROfferMax,58.857, 
TP4,PRM0331,t2,i_ILROfferPrice,0.02, 
TP4,WGN0331,t1,i_ILROfferMax,0, 
TP4,WGN0331,t1,i_ILROfferPrice,0.1, 
TP4,WHI0111,t1,i_ILROfferMax,40, 
TP4,WHI0111,t1,i_ILROfferPrice,0, 
TP4,WHU0331,t1,i_ILROfferMax,0.3, 
TP4,WHU0331,t1,i_ILROfferPrice,0, 
TP4,WKO0331,t1,i_ILROfferMax,0.2, 
TP4,WKO0331,t1,i_ILROfferPrice,0, 
TP5,BOB1101,t1,i_ILROfferMax,2.021, 
TP5,BOB1101,t1,i_ILROfferPrice,0, 
TP5,CPK0331,t1,i_ILROfferMax,1.54, 
TP5,CPK0331,t1,i_ILROfferPrice,0.01, 
TP5,CPK0331,t2,i_ILROfferMax,0.9, 
TP5,CPK0331,t2,i_ILROfferPrice,5.15, 
TP5,CPK0331,t3,i_ILROfferMax,0.6, 
TP5,CPK0331,t3,i_ILROfferPrice,10.29, 
TP5,HAM0331,t1,i_ILROfferMax,2.667, 
TP5,HAM0331,t1,i_ILROfferPrice,0.01, 
TP5,HIN0331,t1,i_ILROfferMax,0.5, 
TP5,HIN0331,t1,i_ILROfferPrice,0, 
TP5,ISL0331,t1,i_ILROfferMax,0, 
TP5,ISL0331,t1,i_ILROfferPrice,0, 
TP5,KAW0111,t1,i_ILROfferMax,6, 
TP5,KAW0111,t1,i_ILROfferPrice,600, 
TP5,KAW0113,t1,i_ILROfferMax,28, 
TP5,KAW0113,t1,i_ILROfferPrice,0, 
TP5,KIN0331,t1,i_ILROfferMax,0.3, 
TP5,KIN0331,t1,i_ILROfferPrice,0, 
TP5,KPU0661,t1,i_ILROfferMax,0.3, 
TP5,KPU0661,t1,i_ILROfferPrice,0, 
TP5,MPE1101,t1,i_ILROfferMax,0, 
TP5,MPE1101,t1,i_ILROfferPrice,0, 
TP5,PEN0331,t1,i_ILROfferMax,5.3, 
TP5,PEN0331,t1,i_ILROfferPrice,0.01, 
TP5,PEN0331,t2,i_ILROfferMax,2.7, 
TP5,PEN0331,t2,i_ILROfferPrice,0.45, 
TP5,PEN0331,t3,i_ILROfferMax,2.7, 
TP5,PEN0331,t3,i_ILROfferPrice,2.95, 
TP5,PRM0331,t1,i_ILROfferMax,55, 
TP5,PRM0331,t1,i_ILROfferPrice,0, 
TP5,PRM0331,t2,i_ILROfferMax,58.451, 
TP5,PRM0331,t2,i_ILROfferPrice,0.02, 
TP5,WGN0331,t1,i_ILROfferMax,0, 
TP5,WGN0331,t1,i_ILROfferPrice,0.1, 
TP5,WHI0111,t1,i_ILROfferMax,40, 
TP5,WHI0111,t1,i_ILROfferPrice,0, 
TP5,WHU0331,t1,i_ILROfferMax,0.3, 
TP5,WHU0331,t1,i_ILROfferPrice,0, 
TP5,WKO0331,t1,i_ILROfferMax,0.2, 
TP5,WKO0331,t1,i_ILROfferPrice,0, 
TP6,BOB1101,t1,i_ILROfferMax,2.433, 
TP6,BOB1101,t1,i_ILROfferPrice,0, 
TP6,CPK0331,t1,i_ILROfferMax,1.385, 
TP6,CPK0331,t1,i_ILROfferPrice,0.01, 
TP6,CPK0331,t2,i_ILROfferMax,0.8, 
TP6,CPK0331,t2,i_ILROfferPrice,5.15, 
TP6,CPK0331,t3,i_ILROfferMax,0.6, 
TP6,CPK0331,t3,i_ILROfferPrice,10.29, 
TP6,HAM0331,t1,i_ILROfferMax,2.667, 
TP6,HAM0331,t1,i_ILROfferPrice,0.01, 
TP6,HIN0331,t1,i_ILROfferMax,0.5, 
TP6,HIN0331,t1,i_ILROfferPrice,0, 
TP6,ISL0331,t1,i_ILROfferMax,0, 
TP6,ISL0331,t1,i_ILROfferPrice,0, 
TP6,KAW0111,t1,i_ILROfferMax,6, 
TP6,KAW0111,t1,i_ILROfferPrice,600, 
TP6,KAW0113,t1,i_ILROfferMax,28, 
TP6,KAW0113,t1,i_ILROfferPrice,0, 
TP6,KIN0331,t1,i_ILROfferMax,0.3, 
TP6,KIN0331,t1,i_ILROfferPrice,0, 
TP6,KPU0661,t1,i_ILROfferMax,0.2, 
TP6,KPU0661,t1,i_ILROfferPrice,0, 
TP6,MPE1101,t1,i_ILROfferMax,0, 
